#detBytecnt, detRealBegin, detRealEnd, detCaluBegin, detCaluEnd
        24,        25,        24,        10,        24
         7,         6,         7,         3,         7
         8,         7,         9,         3,         8
       -25,       -27,       -26,       -11,       -25
         4,         1,         5,         2,         4
        31,        35,        30,        13,        31
       -36,       -42,       -36,       -15,       -36
        37,        47,        38,        16,        37
       -38,       -49,       -38,       -16,       -38
         6,        15,         6,         2,         6
        30,        24,        30,        13,        30
       -49,       -46,       -49,       -21,       -49
        13,        15,        13,         6,        13
         1,         1,         1,         0,         1
        -1,         1,        -1,         0,        -1
       -13,       -11,       -14,        -6,       -13
        68,        58,        68,        29,        68
       -35,       -30,       -35,       -15,       -35
        17,        28,        18,         7,        17
       -15,       -21,       -16,        -6,       -15
       -24,       -27,       -24,       -10,       -24
         7,         9,         8,         3,         7
       -14,       -19,       -14,        -6,       -14
        33,        30,        32,        14,        33
        -6,        -3,        -5,        -3,        -6
         0,         2,        -1,         0,         0
         0,         4,         1,         0,         0
       -12,       -18,       -12,        -5,       -12
        -6,        -5,        -7,        -2,        -6
        14,        17,        14,         6,        14
        -3,        -8,        -2,        -2,        -3
        13,         9,        13,         6,        13
         2,         0,         2,         1,         2
       -43,       -36,       -43,       -19,       -43
        -3,        -5,        -4,        -1,        -3
       -18,        -6,       -17,        -7,       -18
        35,        34,        35,        14,        35
        -7,       -13,        -7,        -3,        -7
         8,         6,         8,         4,         8
       -13,       -12,       -14,        -6,       -13
        52,        56,        53,        22,        52
       -29,       -28,       -30,       -12,       -29
        18,        14,        19,         8,        18
       -32,       -29,       -32,       -14,       -32
        13,        11,        12,         6,        13
         3,         4,         3,         1,         3
       -10,       -11,       -10,        -4,       -10
        31,        27,        32,        13,        31
       -27,       -24,       -27,       -12,       -27
         9,         8,         9,         4,         9
       -33,       -32,       -33,       -14,       -33
        24,        27,        24,        10,        24
       -23,       -25,       -24,        -9,       -23
       -11,       -10,       -10,        -5,       -11
        -6,        -7,        -7,        -3,        -6
        42,        42,        42,        18,        42
       -49,       -52,       -48,       -21,       -49
        49,        48,        48,        21,        49
        -8,        -7,        -8,        -3,        -8
        50,        52,        51,        21,        50
       -71,       -66,       -71,       -30,       -71
        16,        11,        16,         7,        16
        -5,       -14,        -5,        -2,        -5
         0,        -2,         0,         0,         0
       -13,        -4,       -14,        -6,       -13
        33,        33,        34,        14,        33
       -32,       -31,       -32,       -14,       -32
         9,        11,         9,         4,         9
        -4,       -10,        -5,        -1,        -4
       -22,       -20,       -21,       -10,       -22
        44,        45,        43,        19,        44
       -29,       -32,       -29,       -12,       -29
         3,         8,         3,         1,         3
         9,         9,         9,         4,         9
        -3,        -7,        -2,        -2,        -3
         5,         8,         5,         3,         5
        -7,        -7,        -7,        -3,        -7
         6,         5,         5,         2,         6
       -27,       -23,       -26,       -11,       -27
        25,        27,        24,        10,        25
        -4,       -11,        -4,        -1,        -4
       -21,       -20,       -21,        -9,       -21
        14,        12,        14,         6,        14
       -33,       -23,       -32,       -14,       -33
        47,        40,        47,        20,        47
       -25,       -28,       -26,       -11,       -25
        22,        20,        23,         9,        22
        11,        23,        11,         5,        11
        -6,       -12,        -6,        -3,        -6
         3,         3,         3,         2,         3
         6,         6,         5,         2,         6
         0,         4,         0,         0,         0
       -22,       -25,       -22,        -9,       -22
        15,        14,        16,         6,        15
        31,        30,        30,        13,        31
       -15,       -11,       -15,        -6,       -15
        -8,       -10,        -8,        -3,        -8
        23,        23,        23,         9,        23
       -21,       -29,       -20,        -9,       -21
        49,        53,        49,        21,        49
       -19,       -19,       -20,        -8,       -19
        22,        28,        22,         9,        22
        -3,        -6,        -3,        -1,        -3
       -41,       -41,       -41,       -17,       -41
        21,        17,        21,         9,        21
       -27,       -22,       -27,       -12,       -27
        -7,        -2,        -6,        -3,        -7
         4,        -2,         4,         2,         4
        26,        24,        25,        11,        26
       -44,       -42,       -43,       -19,       -44
        74,        74,        74,        32,        74
       -68,       -72,       -69,       -29,       -68
        43,        50,        44,        18,        43
       -20,       -20,       -20,        -8,       -20
        30,        23,        30,        12,        30
       -24,       -20,       -25,       -10,       -24
        22,        17,        22,        10,        22
        -6,         0,        -6,        -3,        -6
        48,        40,        48,        20,        48
       -22,       -22,       -22,        -9,       -22
       -44,       -43,       -43,       -19,       -44
       -16,        -7,       -16,        -6,       -16
       -30,       -30,       -30,       -13,       -30
        16,         2,        16,         7,        16
        18,        29,        18,         7,        18
        16,         8,        15,         7,        16
         9,        13,        10,         4,         9
       -60,       -56,       -60,       -26,       -60
        13,        10,        13,         6,        13
        19,        21,        18,         8,        19
        13,         9,        13,         6,        13
       -12,        -9,       -12,        -6,       -12
       -13,        -9,       -12,        -5,       -13
        22,        20,        22,         9,        22
        -8,        -6,        -8,        -3,        -8
        11,         6,        11,         5,        11
        -2,         4,        -2,        -1,        -2
        26,        23,        26,        11,        26
       -11,       -13,       -11,        -5,       -11
       -22,       -16,       -22,        -9,       -22
       -14,       -18,       -14,        -6,       -14
        11,         8,        11,         4,        11
       -53,       -49,       -54,       -22,       -53
        51,        43,        52,        22,        51
       -35,       -26,       -35,       -15,       -35
